iter	Passed	Remaining
557	3256	2579
558	3261	2573
559	3266	2566
560	3272	2560
561	3279	2555
562	3287	2551
563	3295	2547
564	3301	2541
565	3309	2537
566	3314	2531
567	3320	2525
568	3326	2519
569	3332	2513
570	3337	2507
571	3343	2501
572	3348	2495
573	3355	2489
574	3360	2483
575	3366	2477
576	3371	2471
577	3376	2465
578	3382	2459
579	3387	2453
580	3392	2446
581	3398	2441
582	3404	2434
583	3409	2429
584	3415	2423
585	3420	2416
586	3426	2410
587	3431	2404
588	3437	2398
589	3442	2392
590	3448	2386
591	3453	2380
592	3459	2374
593	3465	2368
594	3470	2362
595	3477	2357
596	3483	2351
597	3490	2346
598	3500	2343
599	3505	2337
600	3511	2331
601	3517	2325
602	3522	2319
603	3528	2313
604	3534	2307
605	3539	2301
606	3545	2295
607	3551	2289
608	3556	2283
609	3562	2277
610	3567	2271
611	3572	2265
612	3578	2259
613	3584	2253
614	3589	2247
615	3595	2241
616	3601	2235
617	3606	2229
618	3611	2223
619	3617	2217
620	3622	2211
621	3628	2205
622	3634	2199
623	3640	2193
624	3646	2187
625	3651	2181
626	3656	2175
627	3662	2169
628	3672	2166
629	3680	2161
630	3687	2156
631	3696	2152
632	3702	2146
633	3711	2142
634	3716	2136
635	3722	2130
636	3728	2124
637	3734	2118
638	3739	2112
639	3745	2106
640	3751	2100
641	3756	2094
642	3761	2088
643	3767	2082
644	3773	2076
645	3778	2070
646	3784	2064
647	3789	2058
648	3795	2052
649	3802	2047
650	3808	2041
651	3814	2035
652	3820	2030
653	3825	2024
654	3831	2018
655	3836	2012
656	3842	2005
657	3848	2000
658	3853	1994
659	3859	1988
660	3865	1982
661	3871	1976
662	3878	1971
663	3884	1965
664	3893	1961
665	3900	1956
666	3906	1950
667	3912	1944
668	3918	1938
669	3924	1932
670	3930	1926
671	3935	1921
672	3941	1915
673	3947	1909
674	3952	1903
675	3958	1897
676	3966	1892
677	3971	1886
678	3977	1880
679	3982	1874
680	3988	1868
681	3994	1862
682	4000	1856
683	4006	1851
684	4013	1845
685	4019	1839
686	4025	1833
687	4030	1827
688	4036	1821
689	4042	1816
690	4047	1810
691	4053	1804
692	4061	1799
693	4067	1793
694	4073	1787
695	4079	1781
696	4086	1776
697	4097	1772
698	4104	1767
699	4110	1761
700	4115	1755
701	4122	1750
702	4127	1743
703	4133	1737
704	4140	1732
705	4147	1727
706	4156	1722
707	4164	1717
708	4177	1714
709	4189	1711
710	4196	1705
711	4207	1702
712	4220	1698
713	4226	1692
714	4237	1689
715	4244	1683
716	4254	1679
717	4265	1675
718	4272	1669
719	4281	1664
720	4288	1659
721	4298	1654
722	4306	1650
723	4316	1645
724	4324	1640
725	4334	1635
726	4345	1631
727	4353	1626
728	4365	1622
729	4372	1617
730	4380	1611
731	4387	1606
732	4396	1601
733	4401	1595
734	4408	1589
735	4415	1583
736	4421	1577
737	4428	1572
738	4433	1565
739	4439	1559
740	4445	1553
741	4453	1548
742	4461	1543
743	4468	1537
744	4480	1533
745	4489	1528
746	4498	1523
747	4513	1520
748	4524	1516
749	4536	1512
750	4548	1508
751	4563	1504
752	4575	1500
753	4584	1495
754	4595	1491
755	4610	1487
756	4621	1483
757	4628	1477
758	4645	1474
759	4662	1472
760	4674	1468
761	4688	1464
762	4702	1460
763	4712	1455
764	4722	1450
765	4731	1445
766	4738	1439
767	4745	1433
768	4752	1427
769	4758	1421
770	4763	1414
771	4768	1408
772	4774	1402
773	4779	1395
774	4784	1389
775	4790	1382
776	4795	1376
777	4801	1370
778	4806	1363
779	4811	1357
780	4817	1350
781	4822	1344
782	4827	1337
783	4832	1331
784	4838	1325
785	4843	1318
786	4848	1312
787	4854	1305
788	4861	1300
789	4868	1294
790	4875	1288
791	4887	1283
792	4899	1278
793	4912	1274
794	4925	1270
795	4934	1264
796	4948	1260
797	4964	1256
798	4975	1251
799	4985	1246
800	4997	1241
801	5009	1236
802	5018	1231
803	5027	1225
804	5039	1220
805	5047	1214
806	5060	1210
807	5070	1204
808	5081	1199
809	5091	1194
810	5106	1190
811	5121	1185
812	5131	1180
813	5140	1174
